Date,Government Exoenditure
2022-11-01,272925.00
2022-10-01,487686.38
2022-09-01,252174.81
2022-08-01,202024.48
2022-07-01,257896.13
2022-06-01,318302.31
2022-05-01,189262.18
2022-04-01,203512.34
2022-03-01,293875.25
2022-02-01,168811.74
2022-01-01,201237.50
2021-12-01,291744.35
2021-11-01,257166.71
2021-10-01,510233.12
2021-09-01,302723.00
2021-08-01,251010.00
2021-07-01,265754.00
2021-06-01,276298.00
2021-05-01,196389.00
2021-04-01,231135.00
2021-03-01,278517.36
2021-02-01,181450.00
2021-01-01,207076.00
2020-12-01,279969.00