Date,PMI
2020-01-01,49.90
2020-02-01,49.50
2020-03-01,46.70
2020-04-01,36.80
2020-05-01,41.60
2020-06-01,43.50
2020-07-01,45.90
2020-08-01,49.70
2020-09-01,49.90
2020-10-01,50.80
2020-11-01,50.40
2020-12-01,50.80
2021-01-01,49.00
2021-02-01,47.20
2021-03-01,48.80
2021-04-01,50.70
2021-05-01,47.80
2021-06-01,49.50
2021-07-01,48.70
2021-08-01,48.30
2021-09-01,48.90
2021-10-01,50.90
2021-11-01,50.60
2021-12-01,49.50
2022-01-01,51.70
2022-02-01,52.50
2022-03-01,51.80
2022-04-01,51.90
2022-05-01,51.90
2022-06-01,50.70
2022-07-01,52.40
2022-08-01,53.70
2022-09-01,55.70
2022-10-01,51.60
2022-11-01,51.10
2022-12-01,52.50